risk_id,company_id,fiscal_year,risk_category,description
38,12,2024,Regulatory,Capital and liquidity requirements constrain balance-sheet flexibility.
39,13,2024,Commodity Price,Earnings are highly sensitive to Brent and WTI crude price swings.
40,13,2024,Regulatory,Climate regulation and emissions policy create long-term demand uncertainty.
41,14,2024,Commodity Price,Earnings are highly sensitive to Brent and WTI crude price swings.
42,14,2024,Regulatory,Climate regulation and emissions policy create long-term demand uncertainty.
43,15,2024,Patent Cliff,Loss of exclusivity on key drugs exposes revenue to biosimilar/generic erosion.
44,15,2024,Regulatory,Drug pricing reform and FDA approval risk affect the pipeline.
45,16,2024,Patent Cliff,Loss of exclusivity on key drugs exposes revenue to biosimilar/generic erosion.
46,16,2024,Regulatory,Drug pricing reform and FDA approval risk affect the pipeline.
47,17,2024,Patent Cliff,Loss of exclusivity on key drugs exposes revenue to biosimilar/generic erosion.
48,17,2024,Regulatory,Drug pricing reform and FDA approval risk affect the pipeline.
49,18,2024,Patent Cliff,Loss of exclusivity on key drugs exposes revenue to biosimilar/generic erosion.
50,18,2024,Regulatory,Drug pricing reform and FDA approval risk affect the pipeline.
51,19,2024,Input Costs,Commodity and freight inflation can pressure gross margins.
52,19,2024,Demand,Volume softness in developing markets as pricing actions are absorbed.
53,20,2024,Input Costs,Commodity and freight inflation can pressure gross margins.
54,20,2024,Demand,Volume softness in developing markets as pricing actions are absorbed.
55,21,2024,Input Costs,Commodity and freight inflation can pressure gross margins.
56,21,2024,Demand,Volume softness in developing markets as pricing actions are absorbed.
57,22,2024,Input Costs,Commodity and freight inflation can pressure gross margins.
58,22,2024,Demand,Volume softness in developing markets as pricing actions are absorbed.
59,23,2024,Competition,Streaming and telecom markets face intense subscriber competition.
60,23,2024,Capital Intensity,Network and content investment requires sustained heavy capex.
61,24,2024,Competition,Streaming and telecom markets face intense subscriber competition.
62,24,2024,Capital Intensity,Network and content investment requires sustained heavy capex.
63,25,2024,Competition,Intense competition and rapid technological change can compress margins.
64,25,2024,Talent,Reliance on attracting and retaining scarce engineering talent.
65,26,2024,Competition,Intense competition and rapid technological change can compress margins.
66,26,2024,Talent,Reliance on attracting and retaining scarce engineering talent.
67,27,2024,Competition,Intense competition and rapid technological change can compress margins.
68,27,2024,Talent,Reliance on attracting and retaining scarce engineering talent.
69,28,2024,Competition,Intense competition and rapid technological change can compress margins.
70,28,2024,Talent,Reliance on attracting and retaining scarce engineering talent.
71,29,2024,Competition,Intense competition and rapid technological change can compress margins.
72,29,2024,Talent,Reliance on attracting and retaining scarce engineering talent.
73,30,2024,Competition,Intense competition and rapid technological change can compress margins.
74,30,2024,Talent,Reliance on attracting and retaining scarce engineering talent.
75,31,2024,Competition,Intense competition and rapid technological change can compress margins.
76,31,2024,Talent,Reliance on attracting and retaining scarce engineering talent.
77,32,2024,Competition,Intense competition and rapid technological change can compress margins.
78,32,2024,Talent,Reliance on attracting and retaining scarce engineering talent.
79,33,2024,Competition,Intense competition and rapid technological change can compress margins.
80,33,2024,Talent,Reliance on attracting and retaining scarce engineering talent.
81,34,2024,Input Costs,Commodity and freight inflation can pressure gross margins.
82,34,2024,Demand,Volume softness in developing markets as pricing actions are absorbed.
83,35,2024,Demand,Discretionary demand is sensitive to the consumer-spending cycle.
84,35,2024,Competition,Pricing pressure from low-cost and online competitors.
85,36,2024,Demand,Discretionary demand is sensitive to the consumer-spending cycle.
86,36,2024,Competition,Pricing pressure from low-cost and online competitors.
87,37,2024,Demand,Discretionary demand is sensitive to the consumer-spending cycle.
88,37,2024,Competition,Pricing pressure from low-cost and online competitors.
89,38,2024,Demand,Discretionary demand is sensitive to the consumer-spending cycle.
90,38,2024,Competition,Pricing pressure from low-cost and online competitors.
91,39,2024,Demand,Discretionary demand is sensitive to the consumer-spending cycle.
92,39,2024,Competition,Pricing pressure from low-cost and online competitors.
93,40,2024,Competition,Streaming and telecom markets face intense subscriber competition.
94,40,2024,Capital Intensity,Network and content investment requires sustained heavy capex.
95,41,2024,Competition,Streaming and telecom markets face intense subscriber competition.
96,41,2024,Capital Intensity,Network and content investment requires sustained heavy capex.
97,42,2024,Competition,Streaming and telecom markets face intense subscriber competition.
98,42,2024,Capital Intensity,Network and content investment requires sustained heavy capex.
99,43,2024,Commodity Price,Input and output prices are exposed to commodity cycles.
100,43,2024,Regulatory,Environmental and emissions regulation increases compliance costs.
101,44,2024,Commodity Price,Input and output prices are exposed to commodity cycles.
102,44,2024,Regulatory,Environmental and emissions regulation increases compliance costs.
103,45,2024,Cyclicality,Demand is tied to capital-investment and defense-budget cycles.
104,45,2024,Supply Chain,Complex supply chains expose production to component shortages.
105,46,2024,Cyclicality,Demand is tied to capital-investment and defense-budget cycles.
106,46,2024,Supply Chain,Complex supply chains expose production to component shortages.
107,47,2024,Cyclicality,Demand is tied to capital-investment and defense-budget cycles.
108,47,2024,Supply Chain,Complex supply chains expose production to component shortages.
109,48,2024,Cyclicality,Demand is tied to capital-investment and defense-budget cycles.
110,48,2024,Supply Chain,Complex supply chains expose production to component shortages.
111,49,2024,Cyclicality,Demand is tied to capital-investment and defense-budget cycles.
112,49,2024,Supply Chain,Complex supply chains expose production to component shortages.
113,50,2024,Cyclicality,Demand is tied to capital-investment and defense-budget cycles.
114,50,2024,Supply Chain,Complex supply chains expose production to component shortages.
